Gene_Name	GO_ID	GO_term
DNAJC25-GNG10	GO:0003924	gtpase activity
DNAJC25-GNG10	GO:0005515	protein binding
DNAJC25-GNG10	GO:0005834	heterotrimeric g-protein complex
DNAJC25-GNG10	GO:0007186	g-protein coupled receptor signaling pathway
NUDT4B	GO:0003723	rna binding
NUDT4B	GO:0005829	cytosol
NUDT4B	GO:0008486	diphosphoinositol-polyphosphate diphosphatase activity
NUDT4B	GO:0046872	metal ion binding
NUDT4B	GO:0052840	inositol diphosphate tetrakisphosphate diphosphatase activity
NUDT4B	GO:0052842	inositol diphosphate pentakisphosphate diphosphatase activity
IGKV3-7	GO:0002377	immunoglobulin production
IGKV3-7	GO:0005615	extracellular space
IGKV3-7	GO:0006955	immune response
IGKV1D-42	GO:0002377	immunoglobulin production
IGKV1D-42	GO:0005615	extracellular space
IGKV1D-42	GO:0006955	immune response
IGLV4-69	GO:0002250	adaptive immune response
IGLV4-69	GO:0002377	immunoglobulin production
IGLV4-69	GO:0003823	antigen binding
IGLV4-69	GO:0005615	extracellular space
IGLV4-69	GO:0005886	plasma membrane
IGLV4-69	GO:0006955	immune response
IGLV8-61	GO:0002250	adaptive immune response
IGLV8-61	GO:0002377	immunoglobulin production
IGLV8-61	GO:0003823	antigen binding
IGLV8-61	GO:0005615	extracellular space
IGLV8-61	GO:0005886	plasma membrane
IGLV8-61	GO:0006955	immune response
IGLV4-60	GO:0002250	adaptive immune response
IGLV4-60	GO:0002377	immunoglobulin production
IGLV4-60	GO:0003823	antigen binding
IGLV4-60	GO:0005615	extracellular space
IGLV4-60	GO:0005886	plasma membrane
IGLV4-60	GO:0006955	immune response
IGLV11-55	GO:0002377	immunoglobulin production
IGLV11-55	GO:0005615	extracellular space
IGLV11-55	GO:0006955	immune response
IGLV10-54	GO:0002250	adaptive immune response
IGLV10-54	GO:0002377	immunoglobulin production
IGLV10-54	GO:0003823	antigen binding
IGLV10-54	GO:0005615	extracellular space
IGLV10-54	GO:0005886	plasma membrane
IGLV10-54	GO:0006955	immune response
IGLV1-50	GO:0002377	immunoglobulin production
IGLV1-50	GO:0005615	extracellular space
IGLV1-50	GO:0006955	immune response
IGLV5-48	GO:0002377	immunoglobulin production
IGLV5-48	GO:0005615	extracellular space
IGLV5-48	GO:0006955	immune response
IGLV7-46	GO:0002250	adaptive immune response
IGLV7-46	GO:0002377	immunoglobulin production
IGLV7-46	GO:0003823	antigen binding
IGLV7-46	GO:0005615	extracellular space
IGLV7-46	GO:0005886	plasma membrane
IGLV7-46	GO:0006955	immune response
IGLV5-37	GO:0002250	adaptive immune response
