Gene_Name	interacting_genes
A1BG	['ANXA7', 'SHMT2', 'SNCA', 'CDKN1A', 'HNF4A', 'CRISP3', 'PRDX4', 'GRB7', 'SMN1', 'GDPD1', 'SETD7', 'ONECUT1', 'ABCC6', 'TK1']
A1CF	['TNPO2', 'SYNCRIP', 'CELF2', 'SDPR', 'JUN', 'HNF1A', 'HNF4A', 'APOBEC1', 'REL', 'TRAF1', 'FHL3', 'KHSRP']
A2M	['NGF', 'IL1B', 'APOE', 'AMBP', 'TTR', 'LCAT', 'TK1', 'SHBG', 'ATP1A1', 'APP', 'IL4', 'KLK3', 'MMP2', 'ENO2', 'PAEP', 'CYP2C8', 'HSPA5', 'UMPS', 'CFTR', 'H2AFX', 'ANXA7', 'RAB3A', 'TGM2', 'IL10', 'DNAJB1', 'NOS3', 'HMOX2', 'PRDX2', 'CYP2C18', 'LONP1', 'CDKN1A', 'STAT3', 'LEP', 'CDK7', 'RAD23A', 'MFAP2', 'GEM', 'FBXW4', 'ADAMTS12', 'ACTB', 'CDC42', 'RAP1B', 'B2M', 'GRB2', 'TUBA1B', 'TYRO3', 'LRP1', 'IFIT5', 'ELAVL3', 'RHEB', 'TGIF1', 'TSC22D1', 'HSPB2', 'CDC37', 'SMN1', 'MAPK6', 'SWSAP1', 'ATF7IP', 'PAXIP1', 'HIPK1', 'TRAPPC5', 'SPACA3', 'GDPD1', 'SEPT8', 'UFD1L', 'GCDH', 'TNFRSF14', 'IGSF8', 'EVI5L', 'STAMBPL1', 'CPB2', 'EGLN2', 'PRAM1', 'MYOC', 'ECSIT', 'MLST8', 'RNF32', 'TP63', 'RETN', 'MED4', 'FBXO6', 'FBXL12', 'NCDN', 'ADAMTS1', 'ADAMTS7', 'KLK13', 'CDK11A', 'FARSA', 'MAST1', 'EXOSC1', 'FIS1', 'AP1M2', 'SMAP', 'IFIT3', 'NUDT21', 'MGEA5', 'CDK2AP2', 'RPP14']
A2ML1	['FOXH1', 'RASSF9', 'CEP152', 'HNRNPA1', 'NFKB1', 'FOXD4', 'GMCL1', 'L2HGDH', 'UGT1A10', 'WWOX']
A4GALT	['PTGFRN', 'ICK', 'FCGRT', 'ABHD17B', 'ABHD14A']
A4GNT	['ICK', 'POMT1', 'POTEF', 'IMPA2', 'GP1BB', 'HOXD13', 'BLK', 'ARF5', 'FAM69A', 'PDXDC1', 'GLB1L2', 'FANK1', 'FAM3C', 'JMJD8', 'FAM213A', 'LMF2', 'RNF167', 'TMEM206', 'COMMD3']
AAAS	['NUDC', 'XPO1', 'OBSL1', 'LYPD3', 'EGFR', 'NTRK1', 'ISG15', 'GNAI3', 'UBC', 'NUP153', 'EFNB2', 'NUP107', 'SUMO1', 'UBE2I', 'REL', 'KPNB1', 'CUL7', 'NEDD8', 'IFI16', 'TCTN3', 'SLC39A4', 'NUDCD3', 'NUP133', 'SEH1L', 'TCTN2', 'POPDC2']
AACS	['CMTM5', 'UBC']
AADAC	['HNF1A']
AAED1	['PICK1', 'ELAVL1']
AAGAB	['FAM177A1', 'AP1S3', 'EIF3C', 'HEATR1', 'STXBP3', 'XPO1', 'AP1G1', 'AP1G2', 'AP2A2', 'AP2A1', 'UBC', 'AP2S1', 'AP1S2', 'STX4', 'UNC119', 'ASAH1', 'ELAVL1', 'EDRF1']
AAK1	['TCTE1', 'AP2M1', 'ATP13A2', 'ANLN', 'GTSE1', 'GAK', 'XPO1', 'AP2A1', 'NTRK1', 'APP', 'CLTB', 'HSPA5', 'GABARAPL2', 'AP2B1', 'DYNLT1', 'CLTC']
AAMDC	['GORASP2', 'BAG3', 'EGFR', 'APP', 'UBC', 'HNF4A', 'ACY3']
AAMP	['E2F4', 'PPP2R2D', 'C11orf57', 'PAXIP1', 'PTF1A', 'NELFCD', 'VPS52', 'AEN', 'PTPRU', 'TCF25', 'INPP5K', 'ACE2', 'MAP1LC3B', 'WNK1', 'C8orf33', 'MKLN1', 'DICER1', 'BHLHE40', 'XPO1', 'UBD', 'EGFR', 'TK1', 'UBC', 'TBXA2R', 'RPL10', 'HNF4A', 'PSEN2', 'GABARAPL2', 'TP53BP1', 'ASAH1']
AANAT	['MDFI', 'BHLHE40', 'YWHAZ']
AAR2	['TSSC4', 'UBD', 'SNRNP200', 'ECD', 'UBC', 'KDR', 'GJA5', 'HNF4A', 'ARF6', 'FKBP5', 'CUL3', 'EFTUD2', 'MICA', 'EAPP', 'PRPF8', 'TTC5', 'GHDC', 'KLHL36', 'SLC7A6OS', 'DDX23', 'CENPJ', 'NCDN', 'ZNHIT2', 'FKBPL', 'INTU']
AARS	['ABCE1', 'SUMO2', 'YWHAZ', 'SUMO1', 'NEDD8', 'OTUB1', 'MOV10', 'SIRT7', 'NXF1', 'UBD', 'FN1', 'NTRK1', 'ISG15', 'ENO1', 'HSP90AA1', 'HSP90AB1', 'UBC', 'ITGA4', 'ETS1', 'VCAM1', 'TAF1', 'EEF1B2', 'CDK2']
AARS2	['RARS2', 'ZNRF1', 'ARHGEF26', 'RNF2', 'FOXB1', 'MRPL4', 'CCDC8', 'FBXW11', 'SIRT4', 'NTRK1', 'UBC', 'YWHAQ', 'BMI1', 'RAP1B', 'FGL1', 'FOXL1', 'ICT1', 'OXLD1']
