Gene_Name	interacting_genes
A2M	['KLKB1', 'MMP1', 'RHOC', 'MMP3', 'RAC2', 'RHOQ', 'MMP13', 'RAC3', 'RHOA', 'RHOB', 'RAC1', 'RHOG', 'RHOH', 'RHOU', 'RHOT2', 'RHOT1', 'RHOV', 'HSD17B10', 'RHOBTB2', 'RHOJ', 'RHOF', 'RHOD', 'RHOBTB1']
A4GALT	['DLG4']
A4GNT	['MUC1', 'MUC5AC', 'MUC3A', 'MUC2', 'MUC21', 'MUC17', 'MUC6', 'MUC19', 'MUC20', 'MUC15', 'MUC7', 'MUC16', 'MUCL1', 'MUC4', 'MUC3B', 'MUC13', 'MUC5B', 'MUC12']
AAAS	['NXF1', 'NXT1', 'AGO2', 'NUP50', 'CHTOP', 'RBM8A', 'RGPD3', 'POM121C', 'PLK4', 'RGPD8', 'CASC3', 'IPO8', 'NUPL2', 'XPOT', 'CDC40', 'ZC3H11A', 'PSIP1', 'BANF1', 'NUP155', 'CCNB2', 'SLU7', 'CDK1', 'NPM1', 'HNRNPC', 'RGPD1', 'RGPD2', 'HSPA1A', 'HSPA1B', 'TOP2A', 'TPR', 'CCNB1', 'HMGA1', 'RCC1', 'SP100', 'U2AF2', 'PML', 'GCK', 'NUP214', 'NUP62', 'EIF4A3', 'RANGAP1', 'RANBP2', 'CCNG1', 'NCBP2', 'NUP98', 'MAGOH', 'SUMO2', 'RAN', 'RAE1', 'SARNP', 'SRSF3', 'ARHGAP8', 'U2AF1', 'SRSF2', 'SRSF11', 'SRSF1', 'ARHGAP1', 'SRSF4', 'NCBP1', 'NUP160', 'SRSF9', 'SRSF5', 'SRSF6', 'THOC5', 'GCKR', 'RNPS1', 'SRSF7', 'C11orf73', 'NUP188', 'THOC7', 'NUP54', 'RGPD4', 'ALYREF', 'THOC6', 'SRRM1', 'NUP93', 'NUP43', 'NUP37', 'NUP35', 'THOC2', 'NEK9', 'NUP210', 'U2AF1L4', 'DHX38', 'NUP205', 'MAGOHB', 'THOC1', 'POM121', 'THOC3', 'NUP88', 'RGPD5', 'NDC1', 'NUP58', 'NUP85', 'POLDIP3', 'UPF3B', 'NEK6']
AACS	['TRAF4', 'HMGA2']
AADAT	['PRPF31', 'HSPH1', 'PABPC5', 'SEH1L', 'AKR1E2', 'CNDP1', 'CNDP2', 'NEDD4L', 'ACO2', 'TUBB6', 'TUBB2B', 'ACAT2', 'EIF5A2', 'TKTL2', 'ATG5', 'PPA2', 'PABPC3', 'TUBB1', 'ISYNA1', 'ACSS2', 'OLA1', 'ACSS1', 'TUBA8', 'STK26', 'RUVBL2', 'STK24', 'TUBAL3', 'EIF4E1B', 'AKR1B15', 'PSMD14', 'STK25', 'PRMT5', 'PFAS', 'LSM1', 'BCAT2', 'PRPF4', 'PRPF3', 'NARS', 'AKR1B10', 'EIF4E2', 'CLUH', 'CS', 'SNRNP200', 'ALDH1A2', 'PRPF6', 'HSPA4L', 'ALDH1A1', 'SOD1', 'OTC', 'ASS1', 'OAT', 'TUBB4A', 'GAPDH', 'ALDH2', 'EIF4E', 'PYGL', 'GPI', 'P4HB', 'TUBB', 'HSP90AA1', 'FH', 'RHOC', 'PFKM', 'HSP90AB1', 'ENO2', 'DLD', 'UBC', 'HSPA1A', 'HSPA1B', 'HSPD1', 'HSPA5', 'HSPA8', 'PYGB', 'PYGM', 'PC', 'MTHFD1', 'PABPC1', 'EEF2', 'PDIA4', 'LCP1', 'PLS3', 'ENO3', 'FDPS', 'AKR1A1', 'DARS', 'ATP6V1B1', 'HSPA6', 'AKR1C4', 'PFKL', 'PSMC3', 'HK1', 'ATP6V1B2', 'UBA1', 'AHCY', 'ACAT1', 'ATP5A1', 'VARS', 'EEF1G', 'TKT', 'PDIA3', 'ADSL', 'ALDH1B1', 'ATIC', 'PRDX2', 'CTH', 'SHMT1', 'SHMT2', 'HSPA1L', 'HSPA4', 'MPI', 'CBS', 'GCK', 'PGM1', 'DLST', 'HSPA9', 'MDH2', 'GARS', 'IARS', 'NEDD4', 'ALDH1A3', 'AARS', 'SARS', 'IDH3A', 'AKR1D1', 'PGD', 'AKR1C2', 'CLTCL1', 'HSPA2', 'BCAT1', 'PSMD4', 'VCP', 'ADK', 'SEC13', 'NPEPPS', 'NUP107', 'ACTB', 'EIF4A1', 'RHOA', 'YWHAE', 'SNRPD1', 'ACTA2', 'RHOB', 'EIF5A', 'ACTG1', 'ACTG2', 'ACTC1', 'EEF1A1', 'ACTA1', 'TUBA1B', 'TUBA4A', 'TUBB4B', 'CLTC', 'GALK2', 'PFKP', 'AKR1C1', 'EEF1A2', 'PRDX4', 'STK3', 'PSMD2', 'PABPC4', 'TUBB3', 'TUBA3C', 'TUBB2A', 'EIF4A2', 'PLS1', 'KARS', 'PGM5', 'PPA1', 'UGP2', 'TUBB8', 'PABPC1L', 'PABPC1L2A', 'EIF5AL1', 'TUBA3E', 'TUBA1A', 'THNSL2', 'SEPT12', 'D2HGDH']
AAGAB	['AFTPH', 'ATF7IP', 'MED21']
AAK1	['LDLRAP1', 'FNBP1L', 'KIAA0319', 'SYT9', 'SYT2', 'NECAP1', 'REPS2', 'STON2', 'ARPC1A', 'REPS1', 'FNBP1', 'SH3GL2', 'SGIP1', 'VAMP8', 'FOXP3', 'SLC2A8', 'LIMA1', 'FZD4', 'PACSIN2', 'SNX9', 'EPN1', 'MYO1C', 'HIP1', 'WASL', 'PIK3C2A', 'BIN1', 'FCHO1', 'DVL2', 'SYNJ2', 'ARPC2', 'ARPC3', 'ARPC5', 'SYNJ1', 'TGOLN2', 'DNAJC6', 'HIP1R', 'VAMP4', 'AP2A2', 'EPN2', 'EGFR', 'LDLR', 'EGF', 'AVP', 'CD4', 'TFRC', 'TF', 'APOB', 'CD3D', 'ADRB2', 'CHRM2', 'CLTA', 'CD3G', 'UBB', 'UBC', 'HSPA8', 'IGF2R', 'CFTR', 'RAB5A', 'M6PR', 'SYT1', 'CBL', 'YWHAQ', 'AVPR2', 'YWHAB', 'ARRB2', 'MYH9', 'MYH11', 'WNT5A', 'EPS15', 'ARRB1', 'AMPH', 'DNM2', 'VAMP7', 'AGFG1', 'CLTCL1', 'AP2S1', 'SEC24C', 'ARPC4', 'ACTB', 'ACTR3', 'ACTR2', 'PPP1CB', 'RPS27A', 'UBA52', 'GRB2', 'VAMP2', 'YWHAZ', 'DAB2', 'LRP2', 'OCRL', 'FCHO2', 'PICALM', 'SCARB2', 'CTTN', 'GAPVD1', 'TRIP10', 'ITSN1', 'VAMP3', 'SLC18A3']
AAMDC	['RAB7A']
AAMP	['RPL10L']
