gene_left	gene_right	source
TRBC2	HLA-A	experimental interaction detection
KANSL1L	OPTN	experimental interaction detection
SLC12A8	CDK2	inference
SLC12A8	CDK3	inference
RBM47	UBC	experimental interaction detection
RBM47	ATM	experimental interaction detection
RBM47	ELAVL1	experimental interaction detection
RBM47	C1orf94	experimental interaction detection
RBM47	ESR2	experimental interaction detection
RBM47	HSFY1	experimental interaction detection
RBM47	RNF2	experimental interaction detection
TTC26	KIF3C	inference
TTC26	XPO1	experimental interaction detection
TTC26	KIF3B	inference
TTC26	GLI1	experimental interaction detection
TTC26	UBC	experimental interaction detection
TTC26	HNF4A	experimental interaction detection
TTC26	HK3	experimental interaction detection
TTC26	VCP	experimental interaction detection
TTC26	DYNLL1	inference
TTC26	IFT88	experimental interaction detection
TTC26	ARL13B	experimental interaction detection
TTC26	TTC21B	inference
TTC26	LCA5	experimental interaction detection
TTC26	TTC30A	experimental interaction detection
TTC26	IFT20	experimental interaction detection
TTC26	TTC30B	experimental interaction detection
TTC26	ZNF579	experimental interaction detection
TTC26	DYNC2H1	inference
TTC26	WDR19	inference
TTC26	NPLOC4	experimental interaction detection
TTC26	DYNC2LI1	inference
TTC26	TRAF3IP1	inference
TTC26	DYNLRB2	inference
TTC26	WDR60	inference
TTC26	IFT81	experimental interaction detection
TTC26	KIFAP3	inference
TTC26	UFD1L	experimental interaction detection
TTC26	CLUAP1	inference
TTC26	WDR34	inference
TTC26	DYNLL2	inference
TTC26	IFT43	inference
TTC26	IFT74	experimental interaction detection
TTC26	UBXN10	experimental interaction detection
TTC26	IFT140	inference
TTC26	IFT27	experimental interaction detection
TTC26	IFT22	experimental interaction detection
TTC26	IFT122	inference
TTC26	DYNLRB1	inference
TTC26	IFT46	experimental interaction detection
TTC26	IFT57	experimental interaction detection
TTC26	IFT80	experimental interaction detection
TTC26	WDR35	inference
TTC26	IFT172	experimental interaction detection
TTC26	IFT52	experimental interaction detection
TTC26	KIF3A	inference
TTC26	HSPB11	experimental interaction detection
TMEM129	HLA-A	experimental interaction detection
TMEM129	UBC	experimental interaction detection
TMEM129	HLA-A	experimental interaction detection
TMEM129	UBE2D1	experimental interaction detection
TMEM129	PSMD4	experimental interaction detection
TMEM129	VCP	experimental interaction detection
TMEM129	UBE2D3	experimental interaction detection
TMEM129	PDGFRL	experimental interaction detection
TMEM129	SYVN1	experimental interaction detection
TMEM129	UBE2J2	experimental interaction detection
TMEM129	MSANTD3	experimental interaction detection
TMEM129	DLC1	experimental interaction detection
TMEM129	VIMP	experimental interaction detection
TMEM129	DERL1	experimental interaction detection
TMEM129	DERL2	experimental interaction detection
TMEM129	SEL1L	experimental interaction detection
E2F8	APP	experimental interaction detection
E2F8	E2F1	experimental interaction detection
E2F8	EWSR1	experimental interaction detection
E2F8	TFCP2	experimental interaction detection
E2F8	FHL3	experimental interaction detection
E2F8	E2F4	experimental interaction detection
E2F8	HIF1A	inference
E2F8	TTC33	experimental interaction detection
E2F8	ZDHHC17	experimental interaction detection
E2F8	LZTR1	experimental interaction detection
E2F8	E2F7	experimental interaction detection
UBA6	UBE2L6	experimental interaction detection
UBA6	SMAD9	experimental interaction detection
UBA6	UBD	experimental interaction detection
UBA6	EED	inference
UBA6	OR5F1	experimental interaction detection
UBA6	NTRK1	experimental interaction detection
UBA6	UBB	inference
UBA6	UBC	experimental interaction detection
UBA6	UBA1	inference
UBA6	SERPINB5	experimental interaction detection
UBA6	EIF4A3	experimental interaction detection
UBA6	ARHGAP25	experimental interaction detection
UBA6	UBE2A	inference
UBA6	FXR1	experimental interaction detection
UBA6	UBE2D1	experimental interaction detection
UBA6	UBE2G2	experimental interaction detection
UBA6	UBE2D3	experimental interaction detection
UBA6	YWHAG	inference
UBA6	UBE2D2	experimental interaction detection
UBA6	RPS27A	inference
UBA6	UBA52	inference
UBA6	UBE2B	inference
UBA6	UBE2L3	experimental interaction detection
UBA6	YWHAH	inference
UBA6	FMR1	experimental interaction detection
UBA6	ELAVL1	experimental interaction detection
UBA6	UBE2S	experimental interaction detection
UBA6	HMBOX1	experimental interaction detection
UBA6	ITCH	experimental interaction detection
UBA6	FYTTD1	experimental interaction detection
UBA6	CCDC8	experimental interaction detection
UBA6	UBE2Z	experimental interaction detection
UBA6	UBE2T	experimental interaction detection
UBA6	AIPL1	experimental interaction detection
UBA6	MBD5	experimental interaction detection
ESYT2	ESYT3	experimental interaction detection
ESYT2	KCNK1	inference
ESYT2	ELL2	experimental interaction detection
ESYT2	NOP56	experimental interaction detection
ESYT2	ATP6AP2	experimental interaction detection
ESYT2	FBXO21	inference
ESYT2	FN1	experimental interaction detection
ESYT2	NTRK1	experimental interaction detection
ESYT2	PAEP	experimental interaction detection
ESYT2	UBC	experimental interaction detection
ESYT2	SLC2A4	experimental interaction detection
ESYT2	ATP2A2	inference
ESYT2	ATP7B	inference
ESYT2	SUMO2	experimental interaction detection
ESYT2	FGD1	experimental interaction detection
ESYT2	ATP7A	inference
ESYT2	CLN3	experimental interaction detection
ESYT2	IRF3	experimental interaction detection
ESYT2	SMN1	inference
ESYT2	KTN1	inference
ESYT2	TMEM17	experimental interaction detection
ESYT2	MAPK15	experimental interaction detection
ESYT2	NCSTN	experimental interaction detection
ESYT2	TNPO1	inference
ESYT2	FAF2	experimental interaction detection
ESYT2	CAMKK2	experimental interaction detection
ESYT2	MPHOSPH8	experimental interaction detection
ESYT2	TUBA1C	experimental interaction detection
ESYT2	ESYT1	experimental interaction detection
ESYT2	DERL1	experimental interaction detection
ESYT2	ECT2	experimental interaction detection
ESYT3	EWSR1	experimental interaction detection
ESYT3	ESYT1	experimental interaction detection
ESYT3	SSX2IP	inference
MED19	ELL2	experimental interaction detection
MED19	NOP56	experimental interaction detection
MED19	DDX3X	experimental interaction detection
MED19	DNALI1	experimental interaction detection
MED19	U2SURP	experimental interaction detection
MED19	HDAC3	inference
MED19	POLR2D	experimental interaction detection
MED19	PRPF3	inference
MED19	MED7	experimental interaction detection
MED19	MED14	experimental interaction detection
MED19	PPFIA2	inference
MED19	NCOR1	inference
MED19	MED24	experimental interaction detection
MED19	MED6	experimental interaction detection
MED19	RSL1D1	experimental interaction detection
MED19	UBR5	experimental interaction detection
MED19	LUC7L3	experimental interaction detection
MED19	MED26	experimental interaction detection
MED19	ESRRB	inference
MED19	BAG2	experimental interaction detection
MED19	LMNA	experimental interaction detection
MED19	TFF1	experimental interaction detection
MED19	GNAI2	inference
MED19	APP	experimental interaction detection
MED19	NPM1	experimental interaction detection
MED19	TH	inference
MED19	GNAI3	inference
MED19	HSPD1	experimental interaction detection
MED19	FABP4	inference
MED19	GATA1	inference
MED19	UBTF	experimental interaction detection
MED19	POLR2C	experimental interaction detection
MED19	POLR2E	experimental interaction detection
MED19	RXRA	inference
MED19	FBL	experimental interaction detection
MED19	CCNC	experimental interaction detection
MED19	POLR2A	experimental interaction detection
MED19	RPS12	inference
MED19	NFKBIA	experimental interaction detection
MED19	PTBP1	experimental interaction detection
MED19	DCK	experimental interaction detection
MED19	MSX1	experimental interaction detection
MED19	POLR2B	experimental interaction detection
MED19	DNAJA1	experimental interaction detection
MED19	HSPA1L	experimental interaction detection
MED19	POLR2I	experimental interaction detection
MED19	PPARG	inference
MED19	HSPA9	experimental interaction detection
MED19	TMPO	experimental interaction detection
MED19	RANGAP1	experimental interaction detection
MED19	CDK8	experimental interaction detection
MED19	DNM2	experimental interaction detection
MED19	HCFC1	experimental interaction detection
MED19	HNRNPM	experimental interaction detection
MED19	KPNA2	experimental interaction detection
MED19	POLR2H	experimental interaction detection
MED19	POLR2J	experimental interaction detection
MED19	POLR2K	experimental interaction detection
MED19	EIF4A1	experimental interaction detection
MED19	POLR2F	experimental interaction detection
MED19	SNRPD1	experimental interaction detection
MED19	POLR2G	experimental interaction detection
MED19	POLR2L	experimental interaction detection
MED19	RPL10A	inference
MED19	GNAI1	inference
MED19	EEF1A1	experimental interaction detection
MED19	SRSF3	experimental interaction detection
MED19	EP300	inference
MED19	TFCP2	inference
MED19	TARDBP	experimental interaction detection
MED19	PPIG	experimental interaction detection
MED19	TCOF1	experimental interaction detection
MED19	MED21	experimental interaction detection
MED19	PRPF4B	experimental interaction detection
MED19	DDX39B	experimental interaction detection
MED19	HNRNPD	inference
MED19	RBM39	experimental interaction detection
MED19	NOLC1	experimental interaction detection
MED19	NUMA1	experimental interaction detection
MED19	NONO	experimental interaction detection
MED19	RNPS1	experimental interaction detection
MED19	MED22	experimental interaction detection
MED19	NCOA2	inference
MED19	MED1	experimental interaction detection
MED19	NCOA1	inference
MED19	DDB1	experimental interaction detection
MED19	SMN1	experimental interaction detection
MED19	CHD9	experimental interaction detection
MED19	CCDC58	inference
MED19	ZC3H13	experimental interaction detection
MED19	DHRS7B	experimental interaction detection
MED19	MED27	experimental interaction detection
MED19	MED13L	experimental interaction detection
MED19	MED25	experimental interaction detection
