Gene_Name,3groupCMHexact_pvalue,3groupbreslowday_pvalue,Model,3groupcasefreq,3groupctrlfreq,3groupenrichmentdirection,1ifbothdukeandha_showcaseenrichment,4groupCMHexact_pvalue,4groupbreslowday_pvalue,4groupcasefreq,4groupctrlfreq,4groupdirection,CarrierCaseDuke,NonCarrierCaseDuke,CarrierCtrlDuke,NonCarrierCtrlDuke,CarrierCaseStanfordMcGill,NonCarrierCaseStanfordMcGill,CarrierCtrlStanfordMcGill,NonCarrierCtrlStanfordMcGill,CarrierCaseHudsonAlpha,NonCarrierCaseHudsonAlpha,CarrierCtrlHudsonAlpha,NonCarrierCtrlHudsonAlpha,CarrierCaseReplication,NonCarrierCaseReplication,CarrierCtrlReplication,NonCarrierCtrlReplication,CaseFreqDuke,CtrlFreqDuke,CaseFreqStanfordMcGill,CtrlFreqStanfordMcGill,CaseFreqHudsonAlpha,CtrlFreqHudsonAlpha,CaseFreqReplication,CtrlFreqReplication
'A1BG',0.28149823,0.140990353,Dom_not_benign,0.104%,0.219%,ctrl,0,NA,NA,NA,NA,NA,0,1173,9,4005,1,250,1,788,2,1448,4,1598,NA,NA,NA,NA,0,0.0022,0.004,0.0013,0.00137931,0.002496879,NA,NA
'A1BG',0.694461722,0.467038274,Dom_coding,0.313%,0.343%,ctrl,0,NA,NA,NA,NA,NA,1,1172,12,4002,1,250,3,786,7,1443,7,1595,NA,NA,NA,NA,0.0008525,0.003,0.004,0.0038,0.004827586,0.004369538,NA,NA
'A1BG',1,NA,Dom_LoF,0.035%,0.047%,ctrl,0,NA,NA,NA,NA,NA,0,1173,2,4012,0,251,0,789,1,1449,1,1601,NA,NA,NA,NA,0,0.0004983,0,0,0.000689655,0.00062422,NA,NA
'A1CF',0.482510524,0.27784249,Dom_coding,0.522%,0.390%,case,0,NA,NA,NA,NA,NA,4,1169,19,3995,1,250,1,788,10,1440,5,1597,NA,NA,NA,NA,0.0034,0.0047,0.004,0.0013,0.006896552,0.003121099,NA,NA
'A1CF',0.501076715,NA,Dom_LoF,0.000%,0.031%,ctrl,0,NA,NA,NA,NA,NA,0,1173,0,4014,0,251,0,789,0,1450,2,1600,NA,NA,NA,NA,0,0,0,0,0,0.001248439,NA,NA
'A1CF',0.796925944,0.105786516,Dom_not_benign,0.174%,0.203%,ctrl,0,NA,NA,NA,NA,NA,1,1172,9,4005,1,250,0,789,3,1447,4,1598,NA,NA,NA,NA,0.0008525,0.0022,0.004,0,0.002068966,0.002496879,NA,NA
'A1CF',1,NA,Rec_coding,0.000%,0.031%,ctrl,0,NA,NA,NA,NA,NA,0,1173,2,4012,0,251,0,789,0,1450,0,1602,NA,NA,NA,NA,0,0.0004983,0,0,0,0,NA,NA
'A2M',0.088161217,0.157317884,Dom_not_benign,0.765%,0.468%,case,1,NA,NA,NA,NA,NA,7,1166,23,3991,1,250,3,786,14,1436,4,1598,NA,NA,NA,NA,0.006,0.0057,0.004,0.0038,0.009655172,0.002496879,NA,NA
'A2M',0.244043846,0.337224415,Dom_coding,1.183%,0.921%,case,0,NA,NA,NA,NA,NA,13,1160,45,3969,1,250,3,786,20,1430,11,1591,NA,NA,NA,NA,0.0111,0.0112,0.004,0.0038,0.0137931,0.006866417,NA,NA
'A2M',0.401177972,NA,Rec_not_benign,0.035%,0.016%,case,0,NA,NA,NA,NA,NA,1,1172,1,4013,0,251,0,789,0,1450,0,1602,NA,NA,NA,NA,0.0008525,0.0002491,0,0,0,0,NA,NA
'A2M',1,NA,Rec_coding,0.035%,0.031%,case,0,NA,NA,NA,NA,NA,1,1172,1,4013,0,251,0,789,0,1450,1,1601,NA,NA,NA,NA,0.0008525,0.0002491,0,0,0,0.00062422,NA,NA
'A2M',0.58062461,NA,Dom_LoF,0.000%,0.062%,ctrl,0,NA,NA,NA,NA,NA,0,1173,4,4010,0,251,0,789,0,1450,0,1602,NA,NA,NA,NA,0,0.0009965,0,0,0,0,NA,NA
'A2ML1',0.360634103,0.56364133,Dom_LoF,0.348%,0.203%,case,1,NA,NA,NA,NA,NA,4,1169,5,4009,1,250,3,786,5,1445,5,1597,NA,NA,NA,NA,0.0034,0.0012,0.004,0.0038,0.003448276,0.003121099,NA,NA
'A2ML1',0.857274726,0.837023346,Dom_coding,1.705%,1.702%,case,0,NA,NA,NA,NA,NA,23,1150,69,3945,4,247,14,775,22,1428,26,1576,NA,NA,NA,NA,0.0196,0.0172,0.0159,0.0177,0.01517241,0.01622971,NA,NA
'A2ML1',1,0.31319122,Rec_not_benign,0.104%,0.078%,case,0,NA,NA,NA,NA,NA,1,1172,1,4013,1,250,1,788,1,1449,3,1599,NA,NA,NA,NA,0.0008525,0.0002491,0.004,0.0013,0.000689655,0.001872659,NA,NA
'A2ML1',0.546949962,0.938361402,Dom_not_benign,0.835%,0.968%,ctrl,0,NA,NA,NA,NA,NA,10,1163,39,3975,2,249,6,783,12,1438,17,1585,NA,NA,NA,NA,0.0085,0.0097,0.008,0.0076,0.008275862,0.01061174,NA,NA
'A2ML1',1,0.219859148,Rec_coding,0.278%,0.328%,ctrl,0,NA,NA,NA,NA,NA,5,1168,15,3999,2,249,2,787,1,1449,4,1598,NA,NA,NA,NA,0.0043,0.0037,0.008,0.0025,0.000689655,0.002496879,NA,NA
'A4GALT',0.183863897,0.34747318,Dom_not_benign,0.383%,0.250%,case,1,NA,NA,NA,NA,NA,7,1166,13,4001,1,250,0,789,3,1447,3,1599,NA,NA,NA,NA,0.006,0.0032,0.004,0,0.002068966,0.001872659,NA,NA
'A4GALT',0.401177972,NA,Dom_LoF,0.035%,0.016%,case,0,NA,NA,NA,NA,NA,1,1172,1,4013,0,251,0,789,0,1450,0,1602,NA,NA,NA,NA,0.0008525,0.0002491,0,0,0,0,NA,NA
'A4GALT',0.523628231,0.183644631,Dom_coding,0.592%,0.531%,case,0,NA,NA,NA,NA,NA,8,1165,29,3985,1,250,0,789,8,1442,5,1597,NA,NA,NA,NA,0.0068,0.0072,0.004,0,0.005517241,0.003121099,NA,NA
'A4GNT',0.225636654,NA,Rec_not_benign,0.070%,0.000%,case,0,NA,NA,NA,NA,NA,0,1173,0,4014,0,251,0,789,2,1448,0,1602,NA,NA,NA,NA,0,0,0,0,0.00137931,0,NA,NA
'A4GNT',0.225636654,NA,Rec_LoF,0.070%,0.000%,case,0,NA,NA,NA,NA,NA,0,1173,0,4014,0,251,0,789,2,1448,0,1602,NA,NA,NA,NA,0,0,0,0,0.00137931,0,NA,NA
'A4GNT',0.518010001,0.59618777,Dom_not_benign,0.174%,0.109%,case,1,NA,NA,NA,NA,NA,3,1170,4,4010,0,251,1,788,2,1448,2,1600,NA,NA,NA,NA,0.0026,0.0009965,0,0.0013,0.00137931,0.001248439,NA,NA
'A4GNT',0.551615721,NA,Rec_coding,0.070%,0.016%,case,0,NA,NA,NA,NA,NA,0,1173,1,4013,0,251,0,789,2,1448,0,1602,NA,NA,NA,NA,0,0.0002491,0,0,0.00137931,0,NA,NA
'A4GNT',1,0.267953767,Dom_coding,0.209%,0.250%,ctrl,0,NA,NA,NA,NA,NA,4,1169,8,4006,0,251,4,785,2,1448,4,1598,NA,NA,NA,NA,0.0034,0.002,0,0.0051,0.00137931,0.002496879,NA,NA
'AAAS',0.461047785,0.963918713,Dom_coding,0.731%,0.562%,case,1,NA,NA,NA,NA,NA,8,1165,22,3992,2,249,4,785,11,1439,10,1592,NA,NA,NA,NA,0.0068,0.0055,0.008,0.0051,0.007586207,0.006242197,NA,NA
'AAAS',0.600464416,0.964448847,Dom_not_benign,0.487%,0.406%,case,1,NA,NA,NA,NA,NA,6,1167,17,3997,1,250,2,787,7,1443,7,1595,NA,NA,NA,NA,0.0051,0.0042,0.004,0.0025,0.004827586,0.004369538,NA,NA
'AAAS',1,0.060954767,Dom_LoF,0.104%,0.078%,case,0,NA,NA,NA,NA,NA,1,1172,1,4013,1,250,0,789,1,1449,4,1598,NA,NA,NA,NA,0.0008525,0.0002491,0.004,0,0.000689655,0.002496879,NA,NA
'AACS',0.061470828,0.132780448,Dom_not_benign,0.800%,0.437%,case,0,NA,NA,NA,NA,NA,12,1161,14,4000,2,249,3,786,9,1441,11,1591,NA,NA,NA,NA,0.0102,0.0035,0.008,0.0038,0.006206897,0.006866417,NA,NA
'AACS',0.516151532,0.191638966,Dom_coding,0.870%,0.765%,case,0,NA,NA,NA,NA,NA,14,1159,27,3987,2,249,8,781,9,1441,14,1588,NA,NA,NA,NA,0.0119,0.0067,0.008,0.0101,0.006206897,0.008739076,NA,NA
'AACS',0.551615721,NA,Dom_LoF,0.070%,0.016%,case,1,NA,NA,NA,NA,NA,1,1172,0,4014,0,251,0,789,1,1449,1,1601,NA,NA,NA,NA,0.0008525,0,0,0,0.000689655,0.00062422,NA,NA
'AADAC',0.356097671,0.623470282,Dom_coding,0.313%,0.219%,case,1,NA,NA,NA,NA,NA,3,1170,8,4006,1,250,4,785,5,1445,2,1600,NA,NA,NA,NA,0.0026,0.002,0.004,0.0051,0.003448276,0.001248439,NA,NA
'AADAC',0.748595981,0.726677346,Dom_not_benign,0.139%,0.125%,case,0,NA,NA,NA,NA,NA,2,1171,4,4010,1,250,2,787,1,1449,2,1600,NA,NA,NA,NA,0.0017,0.0009965,0.004,0.0025,0.000689655,0.001248439,NA,NA
'AADACL2',0.214935606,NA,Dom_LoF,0.139%,0.047%,case,1,NA,NA,NA,NA,NA,2,1171,2,4012,0,251,0,789,2,1448,1,1601,NA,NA,NA,NA,0.0017,0.0004983,0,0,0.00137931,0.00062422,NA,NA
'AADACL2',0.608924466,0.762975881,Dom_not_benign,0.244%,0.187%,case,0,NA,NA,NA,NA,NA,2,1171,7,4007,1,250,3,786,4,1446,2,1600,NA,NA,NA,NA,0.0017,0.0017,0.004,0.0038,0.002758621,0.001248439,NA,NA
'AADACL2',0.729259668,0.18096423,Dom_coding,0.418%,0.437%,ctrl,0,NA,NA,NA,NA,NA,6,1167,12,4002,1,250,4,785,5,1445,12,1590,NA,NA,NA,NA,0.0051,0.003,0.004,0.0051,0.003448276,0.007490637,NA,NA
'AADACL3',0.169608409,NA,Dom_LoF,0.000%,0.094%,ctrl,0,NA,NA,NA,NA,NA,0,1173,2,4012,0,251,2,787,0,1450,2,1600,NA,NA,NA,NA,0,0.0004983,0,0.0025,0,0.001248439,NA,NA
