experiment	comment	disease	mean_rank_unseen	median_rank_unseen	n_unseen_in_list	compare_from	num_targets_found	avg_precision	avg_reciprocal_rank_custom	fold_enrichment_top_1_pct	recall_top_1_pct	fold_enrichment_top_5_pct	recall_top_5_pct	fold_enrichment_top_10_pct	recall_top_10_pct	precision_at_10	recall_at_10	precision_at_25	recall_at_25	precision_at_50	recall_at_50	precision_at_100	recall_at_100	precision_at_250	recall_at_250	precision_at_1000	recall_at_1000	mean_rank_seen	median_rank_seen	n_seen_true_positives
ExpC7	GNN	microcephaly	5534.6957	4748.0	46	2022_09	46	0.0055	0.0009	2.1739	0.0217	2.1739	0.1087	2.3913	0.2391	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0217	0.008	0.0435	0.007	0.1522	381.594	339.5	266
ExpB13	IGNN	microcephaly	4573.9565	3898.5	46	2022_09	46	0.0057	0.0005	0.0	0.0	2.1739	0.1087	1.9565	0.1957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.1522	181.7566	186.0	267
ExpC6	GNN	intellectual_disability	3954.7511	3016.0	221	2022_09	221	0.037	0.0012	3.6199	0.0362	3.3484	0.1674	2.8507	0.2851	0.0	0.0	0.0	0.0	0.02	0.0045	0.05	0.0226	0.064	0.0724	0.047	0.2127	1486.6136	1403.0	1923
ExpB11	IGNN	intellectual_disability	4448.8869	3771.0	221	2022_09	221	0.0283	0.0008	1.81	0.0181	2.2624	0.1131	2.1267	0.2127	0.0	0.0	0.0	0.0	0.02	0.0045	0.02	0.009	0.032	0.0362	0.03	0.1357	1116.7051	1102.0	1923
ExpCP_	GNN	mnd	7006.0	8551.0	7	2022_09	7	0.001	0.0007	0.0	0.0	2.8571	0.1429	1.4286	0.1429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.1429	47.7424	46.5	66
ExpB9	IGNN	mnd	2266.5714	407.0	7	2022_09	7	0.0234	0.0153	28.5714	0.2857	14.2857	0.7143	7.1429	0.7143	0.0	0.0	0.04	0.1429	0.04	0.2857	0.02	0.2857	0.012	0.4286	0.005	0.7143	35.1212	35.5	66
ExpC12	GNN	ataxia	4492.5714	3942.5	14	2022_09	14	0.0018	0.0004	0.0	0.0	0.0	0.0	2.8571	0.2857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0714	159.0661	140.0	227
ExpB81	IGNN	ataxia	5242.9286	5004.5	14	2022_09	14	0.0052	0.0036	7.1429	0.0714	2.8571	0.1429	3.5714	0.3571	0.0	0.0	0.04	0.0714	0.02	0.0714	0.01	0.0714	0.008	0.1429	0.002	0.1429	117.2555	114.0	227
ExpC9	GNN	cp	4500.5923	3338.0	233	2022_09	233	0.0352	0.0012	3.8627	0.0386	3.4335	0.1717	3.0901	0.309	0.0	0.0	0.04	0.0043	0.04	0.0086	0.05	0.0215	0.044	0.0472	0.046	0.1974	76.1957	75.5	92
ExpB17	IGNN	cp	2173.8283	1040.0	233	2022_09	233	0.1269	0.0103	14.5923	0.1459	8.6695	0.4335	6.3519	0.6352	0.5	0.0215	0.32	0.0343	0.2	0.0429	0.23	0.0987	0.172	0.1845	0.111	0.4764	64.163	68.5	92
