Disease_Experiment	CSV_File	Total_Genes	Mean_Rank	Median_Rank	num_targets_found	avg_precision	avg_reciprocal_rank_custom	fold_enrichment_top_1_pct	recall_top_1_pct	fold_enrichment_top_5_pct	recall_top_5_pct	fold_enrichment_top_10_pct	recall_top_10_pct	precision_at_10	recall_at_10	precision_at_25	recall_at_25	precision_at_50	recall_at_50	precision_at_100	recall_at_100	precision_at_250	recall_at_250	precision_at_1000	recall_at_1000
Aminoacidopathy	Mantis_aminoacidopathy.csv	18599	2409.3814	1538	97	0.0482	0.0075	12.3711	0.1237	8.4536	0.4227	6.2887	0.6289	0.2	0.0206	0.16	0.0412	0.12	0.0619	0.07	0.0722	0.064	0.1649	0.043	0.4433
Aminoacidopathy (+PubMed)	mantis-aminoacidopathy-mantis-pubmed.csv	18599	2161.7835	1515	97	0.0501	0.0041	17.5258	0.1753	7.8351	0.3918	5.567	0.5567	0	0	0.04	0.0103	0.16	0.0825	0.12	0.1237	0.08	0.2062	0.038	0.3918
Intellectual Disability	mantis-intellectual-disability.csv	16735	3761.6749	2872	243	0.067	0.0083	8.2305	0.0823	4.5267	0.2263	3.9918	0.3992	0.4	0.0165	0.28	0.0288	0.22	0.0453	0.15	0.0617	0.096	0.0988	0.062	0.2551
Intellectual Disability (+PubMed)	mantis-intellectual-disability-mantis-pubmed.csv	16735	3650.3704	2896	243	0.0438	0.0021	3.7037	0.037	3.786	0.1893	3.2099	0.321	0.2	0.0082	0.08	0.0082	0.06	0.0123	0.07	0.0288	0.064	0.0658	0.055	0.2263
Microcephaly	mantis-microcephaly.csv	18363	4456.1458	3688	48	0.0106	0.0028	6.25	0.0625	4.5833	0.2292	3.125	0.3125	0	0	0.04	0.0208	0.04	0.0417	0.02	0.0417	0.016	0.0833	0.011	0.2292
Microcephaly (+PubMed)	mantis-microcephaly-mantis-pubmed.csv	18363	3621.1458	2691	48	0.0085	0.0015	4.1667	0.0417	2.9167	0.1458	2.9167	0.2917	0	0	0.04	0.0208	0.02	0.0208	0.01	0.0208	0.008	0.0417	0.007	0.1458
CP	mantis-cp.csv	18537	3839.5342	2050	234	0.0737	0.0046	10.2564	0.1026	6.3248	0.3162	4.6581	0.4658	0.4	0.0171	0.24	0.0256	0.2	0.0427	0.17	0.0726	0.108	0.1154	0.08	0.3419
CP (+PubMed)	mantis-cp-mantis-pubmed.csv	18537	2836.6325	1450.5	234	0.1019	0.0083	13.6752	0.1368	7.7778	0.3889	5.4701	0.547	0.1	0.0043	0.32	0.0342	0.28	0.0598	0.21	0.0897	0.144	0.1538	0.097	0.4145
Arthrogryposis	mantis-arthrogryposis.csv	18455	4459.7083	3488.5	24	0.0035	0.0007	4.1667	0.0417	3.3333	0.1667	2.0833	0.2083	0	0	0	0	0	0	0	0	0.004	0.0417	0.004	0.1667
Arthrogryposis (+PubMed)	mantis-arthrogryposis-mantis-pubmed.csv	18455	3568.4167	2492.5	24	0.0129	0.0062	16.6667	0.1667	5	0.25	3.3333	0.3333	0.1	0.0417	0.04	0.0417	0.02	0.0417	0.03	0.125	0.02	0.2083	0.006	0.25
Ataxia	mantis-ataxia.csv	18403	5641.3333	5710	18	0.0028	0.001	5.5556	0.0556	3.3333	0.1667	2.7778	0.2778	0	0	0	0	0	0	0	0	0.008	0.1111	0.003	0.1667
Ataxia (+PubMed)	mantis-ataxia-mantis-pubmed.csv	18403	5286	2607.5	18	0.0038	0.0009	0	0	6.6667	0.3333	4.4444	0.4444	0	0	0	0	0	0	0	0	0	0	0.006	0.3333
MND	mantis-mnd.csv	18560	5047.2857	5305	7	0.0011	0.0005	0	0	2.8571	0.1429	4.2857	0.4286	0	0	0	0	0	0	0	0	0	0	0.001	0.1429
MND (+PubMed)	mantis-mnd-mantis-pubmed.csv	18560	2501.7143	669	7	0.0102	0.0065	28.5714	0.2857	14.2857	0.7143	7.1429	0.7143	0	0	0	0	0.02	0.1429	0.02	0.2857	0.008	0.2857	0.005	0.7143
Skeletal Dysplasia	mantis-skeletal-dysplasia.csv	18090	4059.5833	3779	24	0.0113	0.0047	12.5	0.125	5	0.25	3.75	0.375	0	0	0.04	0.0417	0.04	0.0833	0.03	0.125	0.024	0.25	0.007	0.2917
Skeletal Dysplasia (+PubMed)	mantis-skeletal-dysplasia-mantis-pubmed.csv	18090	2457.9583	926	24	0.0118	0.0036	12.5	0.125	10	0.5	6.6667	0.6667	0	0	0.04	0.0417	0.02	0.0417	0.01	0.0417	0.016	0.1667	0.013	0.5417
AD DEE (2022)	mantis-ad-2022.csv	18348	1130.7945	718	73	0.0927	0.0268	19.1781	0.1918	11.7808	0.589	7.9452	0.7945	0.2	0.0274	0.2	0.0685	0.14	0.0959	0.12	0.1644	0.064	0.2192	0.045	0.6164
AD DEE (+PubMed)	mantis-ad-dee-mantis-pubmed.csv	18348	1095.3836	710	73	0.0634	0.0086	20.5479	0.2055	12.0548	0.6027	7.6712	0.7671	0.2	0.0274	0.08	0.0274	0.12	0.0822	0.08	0.1096	0.088	0.3014	0.047	0.6438
AR DEE (2022)	mantis-ar-2022.csv	18165	2895.1667	1779	48	0.0124	0.0011	2.0833	0.0208	6.6667	0.3333	5.2083	0.5208	0	0	0	0	0	0	0	0	0.008	0.0417	0.016	0.3333
AR DEE (+PubMed)	mantis-ar-dee-mantis-pubmed.csv	18165	3123.0208	1643	48	0.013	0.0015	4.1667	0.0417	6.6667	0.3333	5.2083	0.5208	0	0	0	0	0	0	0.01	0.0208	0.012	0.0625	0.017	0.3542
DEE (Original)	mantis_dee_2022_aug4.csv	17900	3283.8429	2201	261	0.0872	0.0061	10.3448	0.1034	6.2835	0.3142	4.5594	0.4559	0.3	0.0115	0.28	0.0268	0.26	0.0498	0.21	0.0805	0.132	0.1264	0.087	0.3333
DEE (+PubMed)	mantis-dee-with-pubmed.csv	16546	2226.4375	1230	192	0.0798	0.0043	10.4167	0.1042	7.5	0.375	5.8333	0.5833	0.2	0.0104	0.16	0.0208	0.18	0.0469	0.13	0.0677	0.108	0.1406	0.085	0.4427
Platelet Disorder (only PubMed)	mantis_hl_platelet_disorder.csv	18513	1609.125	509.5	16	0.2585	0.1301	37.5	0.375	12.5	0.625	6.875	0.6875	0.4	0.25	0.2	0.3125	0.1	0.3125	0.06	0.375	0.024	0.375	0.01	0.625
Skeletal Dysplasia (only PubMed)	mantis_hl_skeletal_dysplasia.csv	18090	3108.2917	1261.5	24	0.02	0.0076	25	0.25	8.3333	0.4167	5.4167	0.5417	0.1	0.0417	0.04	0.0417	0.02	0.0417	0.04	0.1667	0.032	0.3333	0.01	0.4167
MND (only PubMed)	mantis_hl_mnd.csv	18560	3849.5714	3004	7	0.0149	0.0131	28.5714	0.2857	8.5714	0.4286	4.2857	0.4286	0	0	0.04	0.1429	0.02	0.1429	0.01	0.1429	0.008	0.2857	0.003	0.4286
Microcephaly (only PubMed)	mantis_hl_microcephaly.csv	18363	5888.4167	5279.5	48	0.0053	0.0009	6.25	0.0625	2.5	0.125	1.875	0.1875	0	0	0	0	0	0	0.01	0.0208	0.012	0.0625	0.006	0.125
Intellectual Disability (only PubMed)	mantis_hl_int_disability.csv	16735	5541.9259	5059	243	0.0233	0.0005	0.823	0.0082	1.4815	0.0741	1.893	0.1893	0	0	0	0	0	0	0.01	0.0041	0.024	0.0247	0.026	0.107
CP (only PubMed)	mantis_hl_cp.csv	18537	3560.5342	2153.5	234	0.0728	0.0064	10.2564	0.1026	6.4957	0.3248	4.6581	0.4658	0.3	0.0128	0.28	0.0299	0.18	0.0385	0.14	0.0598	0.116	0.1239	0.077	0.3291
Ataxia (only PubMed)	mantis_hl_ataxia.csv	18403	5964.2222	4973	18	0.0025	0.0009	5.5556	0.0556	1.1111	0.0556	2.7778	0.2778	0	0	0	0	0	0	0	0	0.004	0.0556	0.003	0.1667
Aminoacidopathy (only PubMed)	mantis_hl_aminoacidopathy.csv	18599	3131.1546	1606	97	0.041	0.0084	11.3402	0.1134	7.6289	0.3814	5.3608	0.5361	0.2	0.0206	0.12	0.0309	0.06	0.0309	0.07	0.0722	0.056	0.1443	0.038	0.3918
DEE (only PubMed)	mantis_hl_dee.csv	17900	7038.046	4618	261	0.0327	0.0016	3.8314	0.0383	3.3716	0.1686	2.9502	0.295	0.1	0.0038	0.12	0.0115	0.06	0.0115	0.06	0.023	0.064	0.0613	0.048	0.1839
AR DEE (only PubMed)	mantis_hl_ar_dee.csv	18165	5236.4167	3707.5	48	0.0079	0.001	6.25	0.0625	4.1667	0.2083	3.5417	0.3542	0	0	0	0	0	0	0	0	0.012	0.0625	0.013	0.2708
AD DEE (only PubMed)	mantis_hl_ad_dee.csv	18348	5094.1781	3041	73	0.025	0.0058	15.0685	0.1507	4.9315	0.2466	4.1096	0.411	0.1	0.0137	0.12	0.0411	0.08	0.0548	0.07	0.0959	0.044	0.1507	0.02	0.274
Platelet Disorder (only PubMed)	mantis_hl_platelet_disorder.csv	18513	1609.125	509.5	16	0.2585	0.1301	37.5	0.375	12.5	0.625	6.875	0.6875	0.4	0.25	0.2	0.3125	0.1	0.3125	0.06	0.375	0.024	0.375	0.01	0.625
Cataracts (HL+LL)	mantis_hl_ll_cataracts.csv	18455	6964.4444	7366	9	0.0008	0.0003	0	0	2.2222	0.1111	1.1111	0.1111	0	0	0	0	0	0	0	0	0	0	0.001	0.1111
Platelet Disorder (HL+LL)	mantis_hl_ll_platelet_disorder.csv	18513	638.375	246	16	0.1857	0.107	50	0.5	16.25	0.8125	8.125	0.8125	0.3	0.1875	0.12	0.1875	0.12	0.375	0.07	0.4375	0.032	0.5	0.013	0.8125
Bone Marrow Failure (only LL)	mantis_ll_bone_marrow_failure.csv	18528	3548.9355	1917	31	0.0449	0.0351	9.6774	0.0968	7.7419	0.3871	4.8387	0.4839	0.1	0.0323	0.08	0.0645	0.04	0.0645	0.03	0.0968	0.016	0.129	0.012	0.3871
Platelet Disorder (only LL)	mantis_ll_platelet_disorder.csv	18513	2194.375	249.5	16	0.0591	0.0228	50	0.5	12.5	0.625	6.25	0.625	0.1	0.0625	0.12	0.1875	0.08	0.25	0.07	0.4375	0.032	0.5	0.01	0.625
Cataracts (only LL)	mantis_ll_cataracts.csv	18455	5463.1111	4104	9	0.0011	0.0003	0	0	0	0	1.1111	0.1111	0	0	0	0	0	0	0	0	0	0	0.001	0.1111
Bone Marrow Failure (only HL)	mantis_hl_bone_marrow_failure.csv	18528	3921.6452	1979	31	0.0149	0.0056	9.6774	0.0968	7.0968	0.3548	4.8387	0.4839	0	0	0.08	0.0645	0.04	0.0645	0.03	0.0968	0.016	0.129	0.011	0.3548
Cataracts (only HL)	mantis_hl_cataracts.csv	18455	7579.4444	8759	9	0.0007	0.0003	0	0	2.2222	0.1111	1.1111	0.1111	0	0	0	0	0	0	0	0	0	0	0.001	0.1111
Bone Marrow Failure (HL+LL)	mantis_hl_ll_bone_marrow_failure.csv	18528	2984.7419	1592	31	0.0174	0.0041	22.5806	0.2258	7.0968	0.3548	5.1613	0.5161	0	0	0	0	0.02	0.0323	0.05	0.1613	0.028	0.2258	0.011	0.3548
Arthrogryposis (HL) only	mantis_hl_arthrogryposis.csv	18455	5016.0417	3732.5	24	0.0238	0.0113	25	0.25	6.6667	0.3333	3.75	0.375	0.1	0.0417	0.04	0.0417	0.08	0.1667	0.05	0.2083	0.024	0.25	0.008	0.3333
