gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
A1BG	ENST00000263100	true	14	1.8824e+01	7.4374e-01	4.9000e-01	1.1630e+00	291	2.9292e+02	9.9344e-01	9.0200e-01	1.0950e+00	134	1.3177e+02	1.0170e+00	8.8300e-01	1.1740e+00	1.0362e+00	4.0701e-02	-1.5241e-01	3.3579e-08	5.4291e-01	4.5709e-01	[]
A1BG	ENST00000600966	false	8	1.0839e+01	7.3805e-01	4.3200e-01	1.3290e+00	178	1.7751e+02	1.0028e+00	8.8700e-01	1.1350e+00	81	7.6447e+01	1.0596e+00	8.8500e-01	1.2750e+00	8.0375e-01	-1.3385e-02	-4.0768e-01	3.8589e-05	6.2352e-01	3.7644e-01	[]
A1CF	ENST00000282641	false	19	3.3415e+01	5.6861e-01	3.9600e-01	8.3400e-01	281	3.2878e+02	8.5468e-01	7.7400e-01	9.4300e-01	131	1.2164e+02	1.0770e+00	9.3400e-01	1.2450e+00	2.3240e+00	9.5594e-01	-6.6458e-01	3.7464e-09	9.8459e-01	1.5408e-02	[]
A1CF	ENST00000373993	false	19	3.3415e+01	5.6861e-01	3.9600e-01	8.3400e-01	281	3.2878e+02	8.5468e-01	7.7400e-01	9.4300e-01	131	1.2164e+02	1.0770e+00	9.3400e-01	1.2450e+00	2.3240e+00	9.5594e-01	-6.6458e-01	3.7464e-09	9.8459e-01	1.5408e-02	[]
A1CF	ENST00000373995	true	20	3.2985e+01	6.0633e-01	4.2600e-01	8.8100e-01	273	3.2318e+02	8.4473e-01	7.6400e-01	9.3400e-01	125	1.1959e+02	1.0453e+00	9.0300e-01	1.2130e+00	2.1071e+00	1.0126e+00	-3.8753e-01	5.9743e-10	9.5917e-01	4.0831e-02	[]
A1CF	ENST00000373997	false	19	3.3257e+01	5.7131e-01	3.9800e-01	8.3800e-01	277	3.2463e+02	8.5329e-01	7.7300e-01	9.4300e-01	129	1.2033e+02	1.0720e+00	9.2800e-01	1.2410e+00	2.3040e+00	9.5894e-01	-6.1853e-01	3.5268e-09	9.8325e-01	1.6749e-02	[]
A1CF	ENST00000374001	false	19	3.3257e+01	5.7131e-01	3.9800e-01	8.3800e-01	277	3.2463e+02	8.5329e-01	7.7300e-01	9.4300e-01	129	1.2033e+02	1.0720e+00	9.2800e-01	1.2410e+00	2.3040e+00	9.5894e-01	-6.1853e-01	3.5268e-09	9.8325e-01	1.6749e-02	[]
A1CF	ENST00000395489	false	20	3.2807e+01	6.0963e-01	4.2800e-01	8.8600e-01	266	3.1820e+02	8.3594e-01	7.5500e-01	9.2500e-01	119	1.1700e+02	1.0171e+00	8.7600e-01	1.1840e+00	2.0839e+00	1.0617e+00	-1.4493e-01	5.5663e-10	9.5525e-01	4.4749e-02	[]
A1CF	ENST00000395495	false	14	3.0828e+01	4.5413e-01	2.9900e-01	7.1000e-01	265	3.0311e+02	8.7427e-01	7.9000e-01	9.6800e-01	121	1.1361e+02	1.0650e+00	9.1800e-01	1.2390e+00	2.8247e+00	7.9409e-01	-5.4254e-01	5.5032e-06	9.9866e-01	1.3336e-03	[]
A1CF	ENST00000414883	false	4	1.0472e+01	3.8196e-01	1.8700e-01	8.7400e-01	91	1.1969e+02	7.6032e-01	6.4100e-01	9.0500e-01	43	4.1564e+01	1.0345e+00	8.0900e-01	1.3340e+00	1.8640e+00	9.5125e-01	-1.7437e-01	3.6818e-02	9.3170e-01	3.1479e-02	[]
A2M	ENST00000318602	true	32	7.9460e+01	4.0272e-01	3.0300e-01	5.4100e-01	612	7.7184e+02	7.9291e-01	7.4100e-01	8.4800e-01	263	3.0461e+02	8.6341e-01	7.8000e-01	9.5600e-01	4.9620e+00	2.0872e+00	1.8665e+00	5.6080e-11	1.0000e+00	6.3603e-09	[]
A2M	ENST00000404455	false	3	7.7686e+00	3.8617e-01	1.7500e-01	9.9800e-01	81	8.9302e+01	9.0704e-01	7.5700e-01	1.0910e+00	35	3.7039e+01	9.4495e-01	7.2100e-01	1.2530e+00	1.5945e+00	3.1870e-01	2.6230e-01	6.5506e-02	8.7596e-01	5.8531e-02	[]
A2M	ENST00000543436	false	4	7.3788e+00	5.4209e-01	2.6600e-01	1.2360e+00	83	1.1032e+02	7.5239e-01	6.2900e-01	9.0300e-01	41	4.2866e+01	9.5647e-01	7.4400e-01	1.2410e+00	1.1592e+00	9.4347e-01	2.2316e-01	1.0438e-02	8.4009e-01	1.4947e-01	[]
A2ML1	ENST00000299698	true	63	8.1544e+01	7.7259e-01	6.3000e-01	9.5300e-01	762	7.9746e+02	9.5554e-01	9.0000e-01	1.0140e+00	316	3.1472e+02	1.0041e+00	9.1500e-01	1.1020e+00	1.9139e+00	4.5550e-01	-5.6397e-02	1.5564e-34	2.0263e-02	9.7974e-01	[]
A2ML1	ENST00000536789	false	3	3.3095e+00	9.0649e-01	3.9700e-01	1.8210e+00	32	3.7105e+01	8.6241e-01	6.5000e-01	1.1580e+00	9	1.6047e+01	5.6086e-01	3.3700e-01	9.7900e-01	1.5854e-01	3.0405e-01	1.3773e+00	8.0782e-03	5.7252e-01	4.1940e-01	[]
A2ML1	ENST00000539547	false	40	5.3917e+01	7.4188e-01	5.7500e-01	9.6600e-01	512	5.2673e+02	9.7203e-01	9.0300e-01	1.0460e+00	198	2.1015e+02	9.4219e-01	8.3800e-01	1.0600e+00	1.7664e+00	2.3287e-01	6.5614e-01	1.9907e-21	2.6825e-01	7.3175e-01	[]
A2ML1	ENST00000541459	false	42	5.5244e+01	7.6026e-01	5.9300e-01	9.8300e-01	535	5.5356e+02	9.6648e-01	9.0000e-01	1.0380e+00	210	2.2178e+02	9.4687e-01	8.4500e-01	1.0620e+00	1.6607e+00	2.8614e-01	6.1945e-01	6.2211e-23	1.3812e-01	8.6188e-01	[]
A2ML1	ENST00000545692	false	3	6.4911e+00	4.6217e-01	2.0900e-01	1.1900e+00	99	1.0050e+02	9.8506e-01	8.3600e-01	1.1640e+00	35	4.0676e+01	8.6046e-01	6.5600e-01	1.1410e+00	1.2771e+00	5.4319e-02	6.9678e-01	3.9334e-02	8.4813e-01	1.1254e-01	[]
A3GALT2	ENST00000330379	false	8	6.6128e+00	1.2098e+00	6.9600e-01	1.8620e+00	133	1.3604e+02	9.7769e-01	8.4800e-01	1.1290e+00	60	6.3865e+01	9.3949e-01	7.6200e-01	1.1650e+00	-5.0273e-01	9.4405e-02	3.7862e-01	1.8619e-06	1.4616e-01	8.5384e-01	[]
A3GALT2	ENST00000442999	true	11	1.1594e+01	9.4880e-01	5.9600e-01	1.5560e+00	154	1.6538e+02	9.3117e-01	8.1600e-01	1.0640e+00	71	7.5944e+01	9.3490e-01	7.7100e-01	1.1390e+00	1.6248e-01	3.2111e-01	4.4417e-01	1.1526e-07	1.9775e-01	8.0225e-01	[]
A4GALT	ENST00000249005	false	8	8.3685e+00	9.5596e-01	5.5800e-01	1.6660e+00	239	2.3507e+02	1.0167e+00	9.1400e-01	1.1320e+00	122	1.0452e+02	1.1673e+00	1.0070e+00	1.3570e+00	1.1873e-01	-9.3008e-02	-1.3390e+00	7.4990e-06	3.0529e-01	6.9470e-01	[]
